apple,area,away,ant
bounce,ball,bat,bag
cabbage,carrot,camel,cat
decimal,donkey,driver,drink
elephant,eagle,enter,egg
flutter,funny,flag,fume
grapes,gender,garden,gang
hospital,holiday,hunger,hostel
injection,icecream,injury,ink
judge,juice,jewel,jump
knowledge,kitten,kite,kick
length,lemon,light,laugh
manager,mentor,macro,mouth
nothing,north,nest,net
original,orange,owner,omit
principle,provide,prince,print
question,queen,quiz,quit
republic,roller,rest,ring
strategy,sarcastic,surround,seven,symbol,stele,sound,state
ticket,towel,tea,ten
umbrella,unable,usual,ugly
villain,vendor,vision,verb
warning,wonder,wood,west
xylophones,xylose,xylem,xerox
yellow,young,yeast,yeah
zebra,zoom,zone,zoo
